report_month,report_count,serious_count,fatal_count
2004-09,1,1,1
2004-11,1,1,0
2004-12,1,1,0
2005-01,1,1,1
2005-05,1,1,0
2006-10,1,1,0
2009-06,1,1,0
2010-04,2,2,0
2010-06,2,2,0
2010-07,1,1,0
2010-11,2,2,0
2011-01,2,2,0
2011-02,1,1,0
2011-07,1,1,0
2011-09,1,1,0
2011-10,3,2,1
2011-11,2,2,2
2011-12,2,2,0
2012-01,1,1,0
2012-05,3,3,0
2012-07,2,2,1
2012-08,3,3,0
2012-09,2,2,2
2012-10,2,2,0
2012-12,1,1,0
2013-01,4,4,0
2013-02,6,6,1
2013-03,1,1,0
2013-04,1,1,0
2013-05,2,2,0
2013-06,1,1,1
2013-08,2,2,0
2013-09,1,1,0
2013-10,1,1,1
2013-11,1,1,0
2013-12,2,2,0
2014-01,5,5,0
2014-02,2,2,0
2014-03,3,3,1
2014-04,2,2,0
2014-05,3,3,1
2014-07,4,4,0
2014-08,2,2,0
2014-09,8,7,2
2014-10,6,6,0
2014-11,4,4,0
2014-12,8,7,0
2015-01,1,1,0
2015-02,6,5,2
2015-03,6,5,1
2015-04,6,6,1
2015-05,3,2,1
2015-06,7,6,2
2015-07,9,8,1
2015-08,4,4,0
2015-09,14,14,1
2015-10,4,4,1
2015-11,14,13,4
2015-12,6,5,1
2016-01,3,3,1
2016-02,20,19,5
2016-03,11,11,1
2016-04,11,9,1
2016-05,12,11,2
2016-06,8,7,0
2016-07,13,12,3
2016-08,22,22,5
2016-09,14,11,0
2016-10,18,18,2
2016-11,18,18,1
2016-12,22,21,8
2017-01,11,9,1
2017-02,20,19,2
2017-03,22,21,3
2017-04,30,11,2
2017-05,15,13,1
2017-06,26,21,6
2017-07,20,19,3
2017-08,24,20,3
2017-09,22,20,2
2017-10,28,25,6
2017-11,33,24,8
2017-12,48,44,4
2018-01,29,28,1
2018-02,23,19,1
2018-03,44,40,9
2018-04,24,22,0
2018-05,45,35,2
2018-06,39,37,7
2018-07,37,34,4
2018-08,59,57,8
2018-09,39,36,1
2018-10,52,46,7
2018-11,54,42,7
2018-12,49,47,10
2019-01,123,114,11
2019-02,62,60,9
2019-03,71,65,15
2019-04,71,67,3
2019-05,58,54,10
2019-06,49,41,4
2019-07,68,67,2
2019-08,65,60,9
2019-09,84,79,18
2019-10,90,83,6
2019-11,91,83,12
2019-12,111,103,10
2020-01,102,93,18
2020-02,98,90,9
2020-03,114,102,6
2020-04,92,83,7
2020-05,94,85,5
2020-06,134,128,9
2020-07,141,132,15
2020-08,139,119,10
2020-09,160,147,7
2020-10,149,138,7
2020-11,201,189,12
2020-12,224,209,11
2021-01,134,121,5
2021-02,159,147,12
2021-03,161,151,10
2021-04,164,150,12
2021-05,150,134,7
2021-06,145,134,8
2021-07,163,141,6
2021-08,199,165,15
2021-09,175,149,4
2021-10,202,173,18
2021-11,200,170,7
2021-12,199,185,10
2022-01,169,137,14
2022-02,185,159,17
2022-03,208,172,10
2022-04,221,187,18
2022-05,226,187,15
2022-06,228,201,18
2022-07,177,154,6
2022-08,187,166,16
2022-09,196,156,10
2022-10,238,205,24
2022-11,259,208,14
2022-12,283,235,23
2023-01,311,239,19
2023-02,259,217,20
2023-03,370,300,21
2023-04,320,260,23
2023-05,387,306,32
2023-06,291,245,25
2023-07,404,315,19
2023-08,392,321,20
2023-09,397,307,34
2023-10,466,386,24
2023-11,512,402,34
2023-12,524,395,35
2024-01,536,405,38
2024-02,621,474,33
2024-03,648,501,64
2024-04,708,536,49
2024-05,738,517,42
2024-06,718,516,49
2024-07,813,611,45
2024-08,923,708,51
2024-09,1037,738,50
2024-10,1486,921,79
2024-11,1717,1069,107
2024-12,2354,1112,99
2025-01,1737,1185,114
2025-02,1916,1359,151
2025-03,3582,1755,175
2025-04,3174,2203,197
2025-05,3874,2430,223
2025-06,5987,2958,333
2025-07,6777,4322,385
2025-08,8896,5234,587
2025-09,16132,9520,981
2025-10,104852,56182,7222
2025-11,102528,53922,6745
2025-12,100528,58059,7485
